player,role,form_score_100,is_captain,is_vice_captain,selection_order,match_id,team,opponent,venue,date,rationale
NLTC Perera,BOWL,44.8,False,False,8,995467,Sri Lanka,Sri Lanka,Pallekele International Cricket Stadium,2016-09-06,Selected as BOWL with form score 44.8.
GJ Maxwell,BAT,54.1,False,False,9,995467,Sri Lanka,Sri Lanka,Pallekele International Cricket Stadium,2016-09-06,Selected as BAT with form score 54.1.
TM Dilshan,BAT,53.7,False,False,10,995467,Sri Lanka,Sri Lanka,Pallekele International Cricket Stadium,2016-09-06,Selected as BAT with form score 53.7.
CK Kapugedera,BAT,53.6,False,False,11,995467,Sri Lanka,Sri Lanka,Pallekele International Cricket Stadium,2016-09-06,Selected as BAT with form score 53.6.
DA Warner,BAT,54.9,True,False,1,995469,Sri Lanka,Sri Lanka,R Premadasa Stadium,2016-09-09,Selected as BAT with form score 54.9.
UT Khawaja,BAT,54.2,False,True,2,995469,Sri Lanka,Sri Lanka,R Premadasa Stadium,2016-09-09,Selected as BAT with form score 54.2.
DM de Silva,BAT,53.8,False,False,3,995469,Sri Lanka,Sri Lanka,R Premadasa Stadium,2016-09-09,Selected as BAT with form score 53.8.
MDKJ Perera,BAT,53.1,False,False,4,995469,Sri Lanka,Sri Lanka,R Premadasa Stadium,2016-09-09,Selected as BAT with form score 53.1.
S Prasanna,AR,46.7,False,False,5,995469,Sri Lanka,Sri Lanka,R Premadasa Stadium,2016-09-09,Selected as AR with form score 46.7.
JP Faulkner,BOWL,45.8,False,False,6,995469,Sri Lanka,Sri Lanka,R Premadasa Stadium,2016-09-09,Selected as BOWL with form score 45.8.
SS Pathirana,BOWL,45.3,False,False,7,995469,Sri Lanka,Sri Lanka,R Premadasa Stadium,2016-09-09,Selected as BOWL with form score 45.3.
A Zampa,BOWL,45.0,False,False,8,995469,Sri Lanka,Sri Lanka,R Premadasa Stadium,2016-09-09,Selected as BOWL with form score 45.0.
JW Hastings,BOWL,45.0,False,False,9,995469,Sri Lanka,Sri Lanka,R Premadasa Stadium,2016-09-09,Selected as BOWL with form score 45.0.
GJ Maxwell,BAT,52.7,False,False,10,995469,Sri Lanka,Sri Lanka,R Premadasa Stadium,2016-09-09,Selected as BAT with form score 52.7.
CK Kapugedera,BAT,52.5,False,False,11,995469,Sri Lanka,Sri Lanka,R Premadasa Stadium,2016-09-09,Selected as BAT with form score 52.5.
