player,role,form_score_100,is_captain,is_vice_captain,selection_order,match_id,team,opponent,venue,date,rationale
JP Faulkner,BOWL,40.2,False,False,10,995463,Sri Lanka,Australia,Rangiri Dambulla International Stadium,2016-08-31,Selected as BOWL with form score 40.2.
BKG Mendis,BAT,53.8,False,False,11,995463,Sri Lanka,Australia,Rangiri Dambulla International Stadium,2016-08-31,Selected as BAT with form score 53.8.
GJ Bailey,BAT,56.8,True,False,1,995465,Sri Lanka,Australia,Pallekele International Cricket Stadium,2016-09-04,Selected as BAT with form score 56.8.
BKG Mendis,BAT,54.7,False,True,2,995465,Sri Lanka,Australia,Pallekele International Cricket Stadium,2016-09-04,Selected as BAT with form score 54.7.
LD Chandimal,BAT,54.3,False,False,3,995465,Sri Lanka,Australia,Pallekele International Cricket Stadium,2016-09-04,Selected as BAT with form score 54.3.
DA Warner,BAT,53.7,False,False,4,995465,Sri Lanka,Australia,Pallekele International Cricket Stadium,2016-09-04,Selected as BAT with form score 53.7.
SS Pathirana,AR,47.2,False,False,5,995465,Sri Lanka,Australia,Pallekele International Cricket Stadium,2016-09-04,Selected as AR with form score 47.2.
TM Head,AR,47.2,False,False,6,995465,Sri Lanka,Australia,Pallekele International Cricket Stadium,2016-09-04,Selected as AR with form score 47.2.
JW Hastings,BOWL,43.2,False,False,7,995465,Sri Lanka,Australia,Pallekele International Cricket Stadium,2016-09-04,Selected as BOWL with form score 43.2.
RAS Lakmal,BOWL,41.6,False,False,8,995465,Sri Lanka,Australia,Pallekele International Cricket Stadium,2016-09-04,Selected as BOWL with form score 41.6.
SM Boland,BOWL,41.0,False,False,9,995465,Sri Lanka,Australia,Pallekele International Cricket Stadium,2016-09-04,Selected as BOWL with form score 41.0.
MDK Perera,BOWL,40.2,False,False,10,995465,Sri Lanka,Australia,Pallekele International Cricket Stadium,2016-09-04,Selected as BOWL with form score 40.2.
MD Gunathilaka,BAT,52.7,False,False,11,995465,Sri Lanka,Australia,Pallekele International Cricket Stadium,2016-09-04,Selected as BAT with form score 52.7.
PL Mommsen,BAT,57.3,True,False,1,997993,Scotland,Scotland,"Grange Cricket Club Ground, Raeburn Place",2016-08-14,Selected as BAT with form score 57.3.
KJ Coetzer,BAT,55.7,False,True,2,997993,Scotland,Scotland,"Grange Cricket Club Ground, Raeburn Place",2016-08-14,Selected as BAT with form score 55.7.
Muhammad Usman,BAT,54.9,False,False,3,997993,Scotland,Scotland,"Grange Cricket Club Ground, Raeburn Place",2016-08-14,Selected as BAT with form score 54.9.
L Sreekumar,BAT,52.6,False,False,4,997993,Scotland,Scotland,"Grange Cricket Club Ground, Raeburn Place",2016-08-14,Selected as BAT with form score 52.6.
Mohammad Shahzad,AR,47.0,False,False,5,997993,Scotland,Scotland,"Grange Cricket Club Ground, Raeburn Place",2016-08-14,Selected as AR with form score 47.0.
Amjad Javed,AR,45.6,False,False,6,997993,Scotland,Scotland,"Grange Cricket Club Ground, Raeburn Place",2016-08-14,Selected as AR with form score 45.6.
CD de Lange,BOWL,48.0,False,False,7,997993,Scotland,Scotland,"Grange Cricket Club Ground, Raeburn Place",2016-08-14,Selected as BOWL with form score 48.0.
