player,role,form_score_100,is_captain,is_vice_captain,selection_order,match_id,team,opponent,venue,date,rationale
MC Henriques,BOWL,40.3,False,False,7,981017,Gujarat Lions,Sunrisers Hyderabad,Feroz Shah Kotla,2016-05-27,Selected as BOWL with form score 40.3.
TA Boult,BOWL,39.0,False,False,8,981017,Gujarat Lions,Sunrisers Hyderabad,Feroz Shah Kotla,2016-05-27,Selected as BOWL with form score 39.0.
S Kaushik,BOWL,38.4,False,False,9,981017,Gujarat Lions,Sunrisers Hyderabad,Feroz Shah Kotla,2016-05-27,Selected as BOWL with form score 38.4.
AJ Finch,BAT,52.5,False,False,10,981017,Gujarat Lions,Sunrisers Hyderabad,Feroz Shah Kotla,2016-05-27,Selected as BAT with form score 52.5.
SK Raina,BAT,51.4,False,False,11,981017,Gujarat Lions,Sunrisers Hyderabad,Feroz Shah Kotla,2016-05-27,Selected as BAT with form score 51.4.
DA Warner,BAT,60.1,True,False,1,981019,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-05-29,Selected as BAT with form score 60.1.
V Kohli,BAT,58.5,False,True,2,981019,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-05-29,Selected as BAT with form score 58.5.
KL Rahul,BAT,55.4,False,False,3,981019,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-05-29,Selected as BAT with form score 55.4.
AB de Villiers,BAT,55.0,False,False,4,981019,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-05-29,Selected as BAT with form score 55.0.
CH Gayle,AR,52.1,False,False,5,981019,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-05-29,Selected as AR with form score 52.1.
BCJ Cutting,AR,45.5,False,False,6,981019,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-05-29,Selected as AR with form score 45.5.
SR Watson,BOWL,39.3,False,False,7,981019,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-05-29,Selected as BOWL with form score 39.3.
MC Henriques,BOWL,39.1,False,False,8,981019,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-05-29,Selected as BOWL with form score 39.1.
CJ Jordan,BOWL,36.0,False,False,9,981019,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-05-29,Selected as BOWL with form score 36.0.
S Aravind,BOWL,35.5,False,False,10,981019,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-05-29,Selected as BOWL with form score 35.5.
S Dhawan,BAT,54.0,False,False,11,981019,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-05-29,Selected as BAT with form score 54.0.
